Permethrin,Scabies
Atrovent HFA,Tobacco Use
Dexamethasone Sodium Phosphate,Heart Disease
CefTRIAXone Sodium,Marital History - Currently Married
TEGretol XR,Stroke Syndrome
Lancets 30G,Anemia
Wheelchair,Insomnia
Triglide,Hyperlipidemia
Imitrex STATdose Refill,Migraine Headache
Enalapril-Hydrochlorothiazide,Obesity
Lancets,Hypothyroidism
Ortho-Novum 1/35 (28),Alcohol
Claritin Reditabs,Currently In School Having Difficulty
Ultram,Coronary Artery Disease
PEG-3350/Electrolytes,Hysterectomy
Savella,Migraine Headache
Senna,Hypertension
Sular,Drug Use
Speech Therapy,Otitis Media
Loratadine-Pseudoephedrine,Tobacco Use
Demadex,Previous History Of Smoking
Treximet,Heart Disease
Levitra,Esophageal Reflux
Tylenol Arthritis Pain,Essential Hypertension
Lumigan,Hysterectomy
Clinoril,Depression
Donepezil HCl,Never Smoked
Vagifem,Depression
Ticlopidine HCl,Previous History Of Smoking
Nuvigil,Alcohol
GuaiFENesin AC,Hysterectomy
Carisoprodol,Hyperlipidemia
AndroGel,Occupation:
Nuvigil,Tobacco Use
Cartia XT,Tobacco Use
Milk of Magnesia,Esophageal Reflux
Advair HFA,Allergic Rhinitis
Zomig ZMT,Multiple Sclerosis
Vicodin ES,Diabetes Mellitus
Vagifem,Marital History - Currently Married
Integra Plus,Anemia
CellCept,Essential Hypertension
HumuLIN 70/30,Coronary Artery Disease
Ranitidine HCl,Drug Use
Colcrys,Coronary Artery Disease
Pulmicort Flexhaler,Allergic Rhinitis
Prandin,Obesity
Mucinex DM,Occupation:
Dexilant,Hypertension
HumuLIN N Pen,Hyperlipidemia
Glucosamine Chondroitin,Cancer
Naprosyn,Acute Upper Respiratory Infection
Robaxin-750,Migraine Headache
Vitamin B Complex,Heart Disease
Propecia,Alcohol
Mucinex DM Maximum Strength,Cancer
Terazol 7,Family Health Status
Colchicine,Diabetes Mellitus
Dyazide,Hypertension
Renvela,Type II Diabetes Mellitus
Fexofenadine-Pseudoephedrine,Esophageal Reflux
Epiduo,Oncologic Disorder
Simethicone,Hyperlipidemia
Selenium Sulfide,Allergic Rhinitis
Lescol XL,Hysterectomy
Chromagen Forte,Cesarean Section
Klor-Con 10,Stroke Syndrome
Zofran,Drug Use
Clarinex Reditabs,Allergic Rhinitis
Guaifen PSE,Anxiety (Symptom)
HumuLIN 70/30,Hypertension
Imodium,Drug Use
Acarbose,Type II Diabetes Mellitus
Claritin Reditabs,Malignant Neoplasm Of The Large Intestine
Diltiazem HCl Coated Beads,Coronary Artery Disease
Bayer Aspirin,Hyperlipidemia
Bactroban Nasal,Alcohol
Clindamycin Palmitate HCl,Oncologic Disorder
Chlorthalidone,Benign Essential Hypertension
Valproic Acid,Migraine Headache
Lidocaine HCl,Hypothyroidism
Augmentin,Diabetes Mellitus
Clotrimazole,Tobacco Use
L-Thyroxine Sodium,Hypothyroidism
Glucotrol,Hypertension
Vimpat,Depression
OneTouch Test,Drug Use
Afrin Nasal Spray,Occupation:
K-Dur,Type II Diabetes Mellitus
Cipro HC,Obesity
GlipiZIDE-MetFORMIN HCl,Essential Hypertension
Pletal,Essential Hypertension
Glucophage,Occupation:
Fosinopril Sodium,Hypertension
Ascensia Contour Test,Tobacco Use
Zomig,Depression
Prenatal,Alcohol
Dexilant,Never Smoked
BD Insulin Syringe,Drug Use
Cerefolin,Heart Disease
Accu-Chek Active,Essential Hypertension
Imitrex,Diabetes Mellitus
Physical Therapy,Hypertension
FP Fish Oil,Alcohol Use
Econazole Nitrate,Obesity
Ativan,Alcohol
LevOCARNitine,Esophageal Reflux
Keflex,Alcohol Use
Nitro-Dur,Congestive Heart Failure
Victoza,Hypothyroidism
Nevanac,Type II Diabetes Mellitus
Jolivette,Marital History - Currently Married
Nutraderm,Previous Hospitalizations
Diltiazem HCl Coated Beads,Type II Diabetes Mellitus
MoviPrep,Occupation:
Bactrim,Hyperlipidemia
Tylenol,Coronary Artery Disease
Flaxseed Oil,Essential Hypertension
Blood Pressure,Benign Essential Hypertension
Capsaicin,Hysterectomy
Fexofenadine-Pseudoephedrine,Exercising Regularly
Hydromet,Tobacco Use
Ursodiol,Hypothyroidism
Allegra-D 24 Hour,Asthma
Ecotrin Low Strength,Essential Hypertension
Metaxalone,Alcohol
Femring,Hysterectomy
Axid,Constipation
Acular LS,Hysterectomy
Catapres-TTS-2,Hypertension
Multi-Day Vitamins,Marital History - Currently Married
Minoxidil,Alcohol
Ipratropium-Albuterol,Hypertension
Lodosyn,Heart Disease
Hydroxyurea,"Joint Pain, Localized In The Hip"
Nitrolingual,Drug Use
Darvocet-N 100,Diabetes Mellitus
AzaTHIOprine,Drug Use
Lisinopril-HCTZ,Essential Hypertension
Precision Xtra Blood Glucose,Obesity
Blood Pressure Monitor/L Cuff,Alcohol
Requip,Diabetes Mellitus
Fexofenadine-Pseudoephedrine,Essential Hypertension
Zofran,Tobacco Use
Lanoxin,Drug Use
Co Q-10,Essential Hypertension
Zovirax,Hyperlipidemia
Zomig,Heart Disease
Carbatrol,Drug Use
Atenolol-Chlorthalidone,Drug Use
Bactroban Nasal,Tobacco Use
Diltiazem HCl,Coronary Artery Disease
Fer-In-Sol,Living With Parents
DynaCirc CR,Acute Bronchitis
Combivir,Exercising Regularly
PrednisoLONE Sodium Phosphate,Asthma
Amoxil,Previous Hospitalizations
Enulose,Hypothyroidism
FreeStyle Lancets,Coronary Artery Disease
Travatan,Arthritis
Mylicon,Under Stress
Amiloride-Hydrochlorothiazide,Essential Hypertension
Nystatin-Triamcinolone,Tobacco Use
Divalproex Sodium,Hypertension
Calcitonin (Salmon),Hypothyroidism
Promethazine-Codeine,Drug Use
Niacin CR,Congestive Heart Failure
Amrix,Acute Upper Respiratory Infection
Chloraseptic Gargle,Upper Respiratory Infection
Prempro,Depression
Fiorinal,Migraine Headache
Maxaron Forte,Surgery
Duetact,Type II Diabetes Mellitus
HalfLytely Bowel Prep,Diabetes Mellitus
Levemir,Depression
Guiatuss AC,Hyperlipidemia
Cilostazol,Previous History Of Smoking
Indomethacin,Allergic Rhinitis
Sustiva,Exercising Regularly
Quinapril-Hydrochlorothiazide,Essential Hypertension
Senna-Docusate Sodium,Depression
Nitrostat,Hypothyroidism
Rhinocort,Allergies
ValACYclovir HCl,Essential Hypertension
Doc-Q-Lace,Alcohol
Losartan Potassium-HCTZ,Stroke Syndrome
HumaLOG Mix 75/25,Drug Use
Provigil,Diabetes Mellitus
Calcium + D + K,Hyperlipidemia
ZyrTEC Allergy,Hypothyroidism
Omacor,Tobacco Use
Nitroglycerin,Alcohol Use
Estradiol,Hypertension
Dicloxacillin Sodium,Marital History - Currently Married
Zaroxolyn,Coronary Artery Disease
Relpax,Essential Hypertension
Simcor,Diabetes Mellitus
Ipratropium-Albuterol,Hysterectomy
Lumigan,Essential Hypertension
Naftin,Benign Essential Hypertension
PriLOSEC OTC,Occupation:
OxyCODONE HCl,Alcohol
NovoFine 30,Drug Use
BD Ultra Fine Syringes,Benign Essential Hypertension
Bisoprolol Fumarate,Hyperlipidemia
Guaifenesin-DM,Hysterectomy
Lidocaine Viscous,Tobacco Use
Atacand,Alcohol
Stool Softener,Essential Hypertension
Symlin Pen 120,Diabetes Mellitus
Sildenafil Citrate,Acute Upper Respiratory Infection
Reyataz,Tonsillectomy
Requip,Hyperlipidemia
Chromagen FA,Fatigue
Avandia,Drug Use
Levora 0.15/30 (28),Tobacco Use
Isometheptene-APAP-Dichloral,Hypothyroidism
HumaLOG Mix 75/25 KwikPen,Drug Use
Atrovent,Asthma
Hydrocod Polst-Chlorphen Polst,Acute Sinusitis
Accu-Chek Active Care Kit,Benign Essential Hypertension
BiPAP,Previous History Of Smoking
Minocycline HCl,Occupation:
Klor-Con M10,Drug Use
TriLyte,Tobacco Use
HumuLIN R,Alcohol
Capsaicin,Lower Back Pain
Claritin-D 24 Hour,Tobacco Use
Valturna,Hypertension
Restasis,Hypertension
Catapres-TTS-3,Diabetes Mellitus
Griseofulvin Ultramicrosize,Diabetes Mellitus
Symlin,Hypothyroidism
Ranitidine HCl,Tobacco Use
Atacand HCT,Essential Hypertension
Benadryl,Occupation:
OneTouch UltraSoft Lancets,Hypertension
Keppra,Diabetes Mellitus
Exforge,Benign Essential Hypertension
Paxil,Hypothyroidism
MiraLax,Asthma
Prinivil,Coronary Artery Disease
Timolol Maleate,Hyperlipidemia
Donepezil HCl,Coronary Artery Disease
Soma,Tobacco Use
Clindamycin Palmitate HCl,Constipation
Clindamycin Phos-Benzoyl Perox,Alcohol
OXcarbazepine,Alcohol
B Complex 1,Type II Diabetes Mellitus
FreeStyle System,Type II Diabetes Mellitus
ROPINIRole HCl,Hyperlipidemia
Icar,Allergic Rhinitis
Pulmicort Flexhaler,Cough
Benadryl,Esophageal Reflux
Mefloquine HCl,Allergic Rhinitis
Augmentin,Drug Use
Phenazopyridine HCl,Hyperlipidemia
Vitamin B-1,Tobacco Use
Paxil,Alcohol Use
Excedrin Migraine,Drug Use
Cefadroxil,Diabetes Mellitus
HumaLOG Mix 75/25,Obstructive Sleep Apnea
Astepro,Asthma
Thyrogen,Hypothyroidism
Econazole Nitrate,Essential Hypertension
Renvela,Essential Hypertension
Loperamide HCl,Tobacco Use
Co Q 10,Essential Hypertension
Omnicef,Living With Parents
Cardura,Type II Diabetes Mellitus
Tylenol Ex St Arthritis Pain,Normal Routine History And Physical Geriatric (80 +)
Prezista,Appendectomy
Calcium 600 + D,Tobacco Use
Calcium 500+D,Congestive Heart Failure
Pepcid Complete,Esophageal Reflux
Avalide,Occupation:
Mephyton,Atrial Fibrillation
Estradiol,Alcohol Use
Bisoprolol-Hydrochlorothiazide,Essential Hypertension
Prezista,Cough
Hydrocod Polst-Chlorphen Polst,Reported A History Of Cancer
Omnaris,Alcohol
Norethindrone,Tobacco Use
Combivent,Occupation:
Ditropan XL,Tobacco Use
Reglan,Essential Hypertension
AzaTHIOprine,Tobacco Use
Hydrocortisone Acetate,Hypothyroidism
Travatan,Reported A History Of Cancer
Acthar HP,Alcohol
Kombiglyze XR,Essential Hypertension
Oxygen,Diabetes Mellitus
Alphagan,Type II Diabetes Mellitus
Permethrin Lice Treatment,Allergic Rhinitis
Pseudovent,Allergic Rhinitis
Multi-Day,Marital History - Currently Married
Vitamin D3,Hyperlipidemia
BD Insulin Syr Ultrafine II,Type II Diabetes Mellitus
HumuLIN N Pen,Alcohol
Spiriva HandiHaler,Alcohol Use
Allegra-D 12 Hour,Hypertension
Syringe,Hypothyroidism
Clopidogrel Bisulfate,Previous History Of Smoking
Cialis,Alcohol Use
Torsemide,Drug Use
Astepro,Never Smoked
Kaletra,Tonsillectomy
Ultram ER,Benign Essential Hypertension
Lancets 28G,Appendectomy
OneTouch Lancets,Drug Use
Glycopyrrolate,Allergic Rhinitis
Zovirax,Depression
Potassium,Stroke Syndrome
Corvite,Anemia
Doc-Q-Lace,Diabetes Mellitus
Vitamin B12,Drug Use
Prinivil,Hypertension
Thiamine HCl,Hypertension
Tessalon Perles,Marital History
Vitamin D3,Depression
Accu-Chek Softclix Lancets,Benign Essential Hypertension
Claritin Reditabs,Tuberculosis
Azor,Tobacco Use
Cromolyn Sodium,Allergic Rhinitis
Evista,Hyperlipidemia
Diltiazem HCl Coated Beads,Alcohol
Prezista,Tobacco Use
Nutraderm,Constipation
Combigan,Depression
Wellbutrin XL,Diabetes Mellitus
Eplerenone,Coronary Artery Disease
Motrin IB,Heart Disease
Vitamins/Minerals,Drug Use
Rondex-DM,Insomnia
Hydrocod Polst-Chlorphen Polst,Acute Upper Respiratory Infection
Cosopt,Esophageal Reflux
Advil,Essential Hypertension
Morphine Sulfate,Depression
Robaxin-750,Multiple Sclerosis
Wheelchair,Multiple Sclerosis
OXcarbazepine,Drug Use
Prempro,Hyperlipidemia
Naphcon-A,Fatigue
Ipratropium Bromide,Benign Essential Hypertension
Dexilant,Cough
Effexor,Esophageal Reflux
B-D Insulin Syringe U/F Short,Essential Hypertension
TussiCaps,Essential Hypertension
EpiPen Jr 2-Pak,Acute Upper Respiratory Infection
Epzicom,Arthritis
Livalo,Alcohol
Metrogel,Esophageal Reflux
GlyBURIDE-MetFORMIN,Occupation:
GlipiZIDE-MetFORMIN HCl,Hyperlipidemia
Vicodin ES,Stroke Syndrome
Sotalol HCl,Alcohol
Zithromax Z-Pak,Diabetes Mellitus
BD Pen,Diabetes Mellitus
Sustiva,Drug Use
Androderm,Hyperlipidemia
Zelnorm,Insomnia
Accu-Chek Softclix Lancets,Diabetes Mellitus
Lidocaine Viscous,Drug Use
Sinemet,Seizure Disorder
Carafate,Drug Use
Motrin Infants Drops,Asthma
Foltx,Tobacco Use
Symbicort,Coronary Artery Disease
BD Pen Needle Mini U/F,Tobacco Use
Indomethacin CR,Tobacco Use
Prezista,Headache
Dorzolamide HCl-Timolol Mal,Benign Essential Hypertension
Trizivir,Drug Use
Metaxalone,Depression
Ester-C,Essential Hypertension
Terconazole,Diabetes Mellitus
CarBAMazepine,Stroke Syndrome
PredniSONE (Pak),Alcohol
Nasal Saline,Migraine Headache
Sudafed,Alcohol Use
Fish Oil Double Strength,Obesity
FreeStyle Lite,Obesity
BD Ultra-Fine Needles 31 guage,Hysterectomy
NPH Insulin,Coronary Artery Disease
Lisinopril-HCTZ,Type II Diabetes Mellitus
Methyldopa,Hypertension
BuPROPion HCl (Smoking Deter),Lower Back Pain
OB Complete with DHA,Anemia
DiphenhydrAMINE Cough,Hypertension
Hydrocod Polst-Chlorphen Polst,Hypertension
Boniva,Alcohol Use
Potassium,Hypertension
Antipyrine-Benzocaine,Acute Upper Respiratory Infection
Propranolol HCl,Diabetes Mellitus
Benadryl,Hyperlipidemia
Travatan Z,Type II Diabetes Mellitus
Bethanechol Suspension,Asthma
Imitrex,Essential Hypertension
Tamsulosin HCl,Stroke Syndrome
ZyrTEC Allergy,Alcohol
CefTRIAXone Sodium,Alcohol Use
Aspirin EC,Stroke Syndrome
Multaq,Drug Use
Procardia XL,Tobacco Use
Doc-Q-Lace,Drug Use
BD Pen Needle Mini U/F,Coronary Artery Disease
Omnicef,History Of Prior Surgery
Zelnorm,Fatigue
Zidovudine,General Surgery
Promethazine-Codeine,Tobacco Use
BD Pen,Obstructive Sleep Apnea
Oxytrol,Alcohol
Omacor,Coronary Artery Disease
OneTouch Ultra Mini,Type II Diabetes Mellitus
CarBAMazepine,Essential Hypertension
Zestoretic,Hypertension
BD Pen Needle Mini U/F,Benign Essential Hypertension
Isometheptene-APAP-Dichloral,Diabetes Mellitus
Promethazine-Codeine,Fatigue
Aviane,Tobacco Use
Tylenol Extra Strength,Hyperlipidemia
Cerefolin,Drug Use
BD Lancet Ultrafine 33G,Hypertension
BenzaClin,Allergic Rhinitis
Abilify,Drug Use
Keflex,Tobacco Use
Carbamide Peroxide,Secondhand Tobacco Smoke In Home
OneTouch Ultra System,Tobacco Use
Aggrenox,Benign Essential Hypertension
Voltaren,Drug Use
Ventolin HFA,Occupation:
Kaletra,Diabetes Mellitus
GlipiZIDE XL,Hypertension
Phenazopyridine HCl,Hypertension
Epzicom,Exercising Regularly
Symbicort,Marital History - Currently Married
Mylicon,Abuse / Neglect
Calcium Citrate,Hyperlipidemia
L-Thyroxine,Hypothyroidism
Prezista,Drug Use
Epzicom,Diabetes Mellitus
Sinus Rinse Bottle Kit,Arthritis
Didanosine,Upper Respiratory Infection
Ziagen,Upper Respiratory Infection
Atacand,Drug Use
Humatrope,Oncologic Disorder
Zovirax,Essential Hypertension
Mirapex,Tobacco Use
Bayer Low Strength,Hysterectomy
Mucinex,Diabetes Mellitus
Epiduo,Sickle Cell Abnormality
Chloraseptic Gargle,Allergic Rhinitis
Saline,Hypertension
Robaxin,Migraine Headache
Glucovance,Tobacco Use
Synvisc One,Arthritis
Cosopt,Alcohol
Beta Carotene,Essential Hypertension
Abilify,Alcohol
Santyl,Diabetes Mellitus Poorly Controlled
Metrogel,Benign Essential Hypertension
Accupril,Diabetes Mellitus
Donepezil HCl,Drug Use
Zithromax Z-Pak,Hypertension
PriLOSEC OTC,Diabetes Mellitus
Yasmin 28,Occupation:
Biaxin XL,Insomnia
Metoprolol-Hydrochlorothiazide,Insomnia
HumuLIN R,Tobacco Use
Phenazopyridine HCl,Marital History - Currently Married
Starlix,Hypertension
Voltaren,Tobacco Use
Multi Vitamin/Minerals,Migraine Headache
Nisoldipine,Benign Essential Hypertension
Wheelchair,Backache
Erythromycin,Diabetes Mellitus
HalfLytely Bowel Prep,Hypothyroidism
Atrovent HFA,Diabetes Mellitus
Mucinex DM,Asthma
Rozerem,Esophageal Reflux
Phenytoin Sodium Extended,Essential Hypertension
HalfLytely Bowel Prep,Exercising Regularly
Oxygen,Hypothyroidism
Patanol,Hyperlipidemia
Hydrocortisone Acetate,Marital History - Currently Married
Keppra XR,Heart Disease
Loestrin 1/20 (21),Tobacco Use
Prenatal,Tobacco Use
Senna-Docusate Sodium,Vitamin D Deficiency
Tandem,Vitamin D Deficiency
Gemfibrozil,Allergic Rhinitis
Levemir FlexPen,Occupation:
Viramune,Drug Use
Sucralfate,Alcohol
Fexofenadine-Pseudoephedrine,Occupation:
Albuterol-Ipratropium,Congestive Heart Failure
Klor-Con M10,Tobacco Use
Alvesco,Asthma
Reglan,Hypertension
Sodium Bicarbonate,Diabetes Mellitus
Lancets Thin,Essential Hypertension
Simcor,Hypertension
FA-Cyanocobalamin-Pyridoxine,Coronary Artery Disease
Mirapex,Alcohol
Spiriva HandiHaler,Allergic Rhinitis
Protopic,Allergic Rhinitis
Vivelle-Dot,Tobacco Use
Welchol,Hypothyroidism
Pletal,Coronary Artery Disease
BuPROPion HCl (Smoking Deter),Tobacco Use
Cartia XT,Hysterectomy
CefTAZidime,Never Drank Alcohol
Marinol,Depression
Hydrocodone-Homatropine,Alcohol
Clarinex-D 24 Hour,Allergic Rhinitis
Flovent Diskus,Chronic Obstructive Pulmonary Disease
Bayer Contour Test,Benign Essential Hypertension
Sodium Polystyrene Sulfonate,Tobacco Use
BD Insulin Syringe MicroFine,Diabetes Mellitus
Amrix,Essential Hypertension
Geodon,Tobacco Use
Home Health,Hyperlipidemia
MedroxyPROGESTERone Acetate,Diabetes Mellitus
GuaiFENesin,Hypertension
Melatonin,Hypothyroidism
Cleocin,Allergic Rhinitis
Multiple Vitamin,Type II Diabetes Mellitus
EryPed 200,Constipation
Aquaphor,Child Enrolled In Day-care
Estratest,Hypothyroidism
Ativan,Tobacco Use
Nifediac CC,Normal Routine History And Physical Geriatric (80 +)
Avonex Prefilled,Alcohol
Ativan,Esophageal Reflux
Lovaza,Occupation:
Folbic,Hypertension
Tylenol Extra Strength,Essential Hypertension
Evista,Essential Hypertension
BD U/F Original Pen Needle,Diabetes Mellitus
Diflucan,Drug Use
Nabumetone,Hyperlipidemia
Metrogel,Hypothyroidism
Prenatal Vitamins,Tobacco Use
4-Aminopyridine,Alcohol
Artificial Tears,Seizure Disorder
Tiazac,Anemia
Polyethylene Glycol,Acute Upper Respiratory Infection
Actonel,Diabetes Mellitus
YAZ,Hypertension
Coreg CR,Tobacco Use
Metaxalone,Hyperlipidemia
FreeStyle Test,Coronary Artery Disease
Aspir-Low,Previous History Of Smoking
Omacor,Depression
Xanax,Occupation:
Bactrim DS,Hyperlipidemia
Aspirin EC,Normal Routine History And Physical Geriatric (80 +)
Bisacodyl,Esophageal Reflux
Caltrate 600,Hypertension
Glucosamine,Alcohol
Glucosamine Chondr 1500 Complx,Vitamin D Deficiency
Ciprofloxacin-Ciproflox HCl,Drug Use
Byetta,Diabetes Mellitus
Vitamin B-12,Diabetes Mellitus
HumuLIN R U-500 (CONCENTRATED),Type II Diabetes Mellitus
Activella,Hypothyroidism
Aspirin Low Dose,Diabetes Mellitus
Hydroquinone,Tuberculosis
PriLOSEC OTC,Coronary Artery Disease
Soma,Drug Use
Sotalol HCl,Tobacco Use
Centrum,Diabetes Mellitus
BuPROPion HCl (Smoking Deter),Benign Essential Hypertension
Vitamins/Minerals,Occupation:
Mylicon,Sickle Cell Abnormality
Daytrana,Abuse / Neglect
Zaleplon,Type II Diabetes Mellitus
Magnesium,Alcohol Use
Multi Vitamin/Minerals,Drug Use
Albuterol Sulfate HFA,Benign Essential Hypertension
Poly-Vi-Sol/Iron,Hyperlipidemia
Mucinex D,Heart Disease
Meperidine HCl,Hysterectomy
Zomig,Hysterectomy
Aldactone,Alcohol
Victoza,Coronary Artery Disease
Walker,Benign Essential Hypertension
Cytomel,Tobacco Use
Metamucil,Hypertension
Onglyza,Coronary Artery Disease
Sustiva,Tobacco Use
Calcium 600+D,Hysterectomy
Vitamin B-12,Marital History - Currently Married
Combivir,Allergic Rhinitis
Oxytrol,Osteoporosis
Clopidogrel Bisulfate,Normal Routine History And Physical Geriatric (80 +)
Diovan HCT 320-12.5 MG Tablet,Benign Essential Hypertension
Zemplar,Tobacco Use
Iron,Alcohol Use
Flaxseed Oil,Tobacco Use
Theophylline,Asthma
Vitamin D (Ergocalciferol),Alcohol Use
Oracea,Hyperlipidemia
Diltia XT,Essential Hypertension
Entex PSE,Allergic Rhinitis
Mylicon,General Surgery
Griseofulvin Ultramicrosize,Anemia
Geodon,Alcohol
Chromagen FA,Hysterectomy
Quinapril-Hydrochlorothiazide,Diabetes Mellitus
Naproxen Sodium,Alcohol
Permethrin,Esophageal Reflux
PrednisoLONE Acetate,Essential Hypertension
Claritin-D 12 Hour,Occupation:
Nasacort,Occupation:
Lubriderm,Previous Hospitalizations
Lotemax,Drug Use
Calcium Citrate + D,Fatigue
Aleve,Stroke Syndrome
BusPIRone HCl,Alcohol
Citracal Prenatal Rx,Cesarean Section
Coenzyme Q-10,Diabetes Mellitus Poorly Controlled
Amlodipine Besy-Benazepril HCl,Allergic Rhinitis
Stalevo 100,Heart Disease
Omacor,Drug Use
Lotemax,Tobacco Use
Maxalt,Hypertension
Vimpat,Alcohol
Zostavax,Benign Essential Hypertension
Claritin Reditabs,Asthma
DuoNeb,Asthma
Nicotine,Type II Diabetes Mellitus
BD Pen Needle Mini U/F,Alcohol
Metaxalone,Tobacco Use
Alavert,Cough
Accu-Chek Comfort Curve,Diabetes Mellitus
Probenecid,Atrial Fibrillation
Claritin-D 24 Hour,Migraine Headache
OneTouch Ultra System,Hysterectomy
Potassium,Hysterectomy
Flax Seed Oil,Alcohol
BD Insulin Syringe,Alcohol
Auralgan,Drug Use
Dexilant,Allergic Rhinitis
Ortho Tri-Cyclen Lo,Diabetes Mellitus
